Booking_Reference,Event,Date,Name,Email,Postcode,Tickets_Booked,Attended,Notes
AUP-AUP-494321,Archive Visit,2026-07-19,Ethan Perry,ethan.perry38@icloud.com,PL5 8 AC,1,,Repeat visitor
AUP-AUP-456147,Archive Visit,2026-07-19,Lucy Roberts,lucy.roberts74@outlook.com,PL5 1 HN,1,,Local resident
AUP-AUP-332820,Archive Visit,2026-07-19,Lucy Jackson,lucy.jackson60@yahoo.co.uk,EX1 4 GE,1,,Community referral
AUP-AUP-153488,Archive Visit,2026-07-19,Amelia Hill,amelia.hill39@outlook.com,PL5 1 DZ,2,,Community referral
AUP-AUP-459268,Archive Visit,2026-07-19,George Roberts,george.roberts50@outlook.com,PL9 2 KJ,1,,
AUP-AUP-520723,Archive Visit,2026-07-19,Oliver Perry,oliver.perry1@outlook.com,PL3 9 DP,1,,
AUP-AUP-729589,Archive Visit,2026-07-19,Daniel Hall,daniel.hall84@icloud.com,PL1 5 IB,1,,Repeat visitor
AUP-AUP-641724,Archive Visit,2026-07-19,Olivia Taylor,olivia.taylor19@hotmail.co.uk,PL6 9 OU,1,,
AUP-AUP-492571,Archive Visit,2026-07-19,Poppy Martin,poppy.martin35@hotmail.co.uk,PL6 7 OC,1,,Local resident
AUP-AUP-707911,Archive Visit,2026-07-19,Megan Perry,megan.perry34@icloud.com,PL6 4 SI,1,,Local resident
AUP-AUP-274582,Archive Visit,2026-07-19,Jessica Ward,jessica.ward44@outlook.com,PL2 2 KV,1,,Repeat visitor
AUP-AUP-225969,Archive Visit,2026-07-19,Thomas Williams,thomas.williams95@icloud.com,PL7 1 TB,1,,
AUP-AUP-654166,Archive Visit,2026-07-19,Evie Singh,evie.singh32@gmail.com,PL19 3 LV,4,,Local resident
AUP-AUP-674152,Archive Visit,2026-07-19,Lucas Jackson,lucas.jackson59@hotmail.co.uk,PL5 4 SC,1,,
AUP-AUP-891518,Archive Visit,2026-07-19,Thomas Patel,thomas.patel19@gmail.com,PL4 3 TG,1,,Repeat visitor
AUP-AUP-854493,Archive Visit,2026-07-19,Ruby Perry,ruby.perry42@yahoo.co.uk,TQ4 2 CG,2,,Repeat visitor
AUP-AUP-810100,Archive Visit,2026-07-19,Joshua King,joshua.king39@gmail.com,PL5 4 VS,1,,
AUP-AUP-714445,Archive Visit,2026-07-19,Olivia Wood,olivia.wood29@yahoo.co.uk,TA6 2 MW,1,,
AUP-AUP-161779,Archive Visit,2026-07-19,Oliver Collins,oliver.collins75@icloud.com,PL19 2 WK,4,,Repeat visitor
AUP-AUP-233824,Archive Visit,2026-07-19,Emma Jones,emma.jones8@gmail.com,PL9 6 ZH,1,,
AUP-AUP-230792,Archive Visit,2026-07-19,Charlotte Singh,charlotte.singh73@yahoo.co.uk,PL4 1 TK,2,,Repeat visitor
AUP-AUP-619442,Archive Visit,2026-07-19,Ruby Baker,ruby.baker81@outlook.com,PL6 4 DE,1,,Local resident
