Order_ID,Event_Name,Event_Date,First_Name,Last_Name,Email,Postcode,Ticket_Type,Quantity,Ticket_Price,Purchase_Date,Attendance_Status
EVB-PC-133151,Creative Drop-in,2026-04-14,Emma,Ward,emma.ward4@yahoo.co.uk,EX1 8 XQ,General Admission,1,4.21,2026-04-11 18:00,Partial
EVB-PC-591665,Creative Drop-in,2026-04-14,Chloe,Bennett,chloe.bennett9@hotmail.co.uk,PL1 5 XW,General Admission,1,4.21,2026-02-23 07:59:59.999997,Partial
EVB-PC-550714,Creative Drop-in,2026-04-14,Grace,Scott,grace.scott32@gmail.com,PL4 6 LO,General Admission,1,4.21,2026-04-12 07:59:59.999997,Partial
EVB-PC-580467,Creative Drop-in,2026-04-14,Chloe,Smith,chloe.smith48@icloud.com,PL1 2 QD,General Admission,1,4.21,2026-01-30 19:59:59.999997,Partial
EVB-PC-334456,Creative Drop-in,2026-04-14,Ruby,Johnson,ruby.johnson87@gmail.com,PL4 9 WS,General Admission,1,4.21,2026-04-13 15:00,Partial
EVB-PC-743544,Creative Drop-in,2026-04-14,Grace,Turner,grace.turner39@yahoo.co.uk,TA6 2 KR,General Admission,1,4.21,2026-03-23 10:00:00.000003,Partial
EVB-PC-880807,Creative Drop-in,2026-04-14,Harry,Ward,harry.ward70@yahoo.co.uk,PL9 7 RN,General Admission,1,4.21,2026-03-14 13:00:00.000003,Partial
EVB-PC-960455,Creative Drop-in,2026-04-14,Thomas,Johnson,thomas.johnson45@icloud.com,PL3 1 AF,General Admission,1,4.21,2026-03-09 18:00,Partial
EVB-PC-116527,Creative Drop-in,2026-04-14,Alfie,Smith,alfie.smith96@hotmail.co.uk,PL6 3 ZQ,General Admission,1,4.21,2026-03-26 19:59:59.999997,Partial
EVB-PC-915886,Creative Drop-in,2026-04-14,Oliver,Baker,oliver.baker13@hotmail.co.uk,PL5 8 GT,General Admission,2,4.21,2026-04-11 10:59:59.999997,Partial
EVB-PC-466452,Creative Drop-in,2026-04-14,Olivia,Morgan,olivia.morgan41@icloud.com,PL2 8 BA,General Admission,2,4.21,2026-02-05 15:00,Partial
EVB-PC-675567,Creative Drop-in,2026-04-14,Noah,Walker,noah.walker80@icloud.com,TA6 3 PL,General Admission,1,4.21,2026-03-05 18:00,Partial
EVB-PC-878828,Creative Drop-in,2026-04-14,Max,Jackson,max.jackson31@gmail.com,PL2 3 VT,General Admission,1,4.21,2026-03-13 19:59:59.999997,Partial
EVB-PC-253096,Creative Drop-in,2026-04-14,Phoebe,King,phoebe.king34@hotmail.co.uk,PL9 5 EQ,General Admission,1,4.21,2026-02-15 13:59:59.999997,Partial
EVB-PC-980870,Creative Drop-in,2026-04-14,Grace,Davies,grace.davies74@gmail.com,PL7 9 GR,General Admission,2,4.21,2026-02-25 09:00,Partial
EVB-PC-442142,Creative Drop-in,2026-04-14,Joshua,Ward,joshua.ward80@outlook.com,PL3 8 UW,General Admission,1,4.21,2026-02-14 13:59:59.999997,Partial
EVB-PC-344532,Creative Drop-in,2026-04-14,Evie,Roberts,evie.roberts64@yahoo.co.uk,TR7 8 YK,General Admission,1,4.21,2026-01-29 13:59:59.999997,Partial
EVB-PC-308601,Creative Drop-in,2026-04-14,Noah,Wood,noah.wood40@hotmail.co.uk,PL5 1 OX,General Admission,1,4.21,2026-04-12 19:00:00.000003,Partial
EVB-PC-997821,Creative Drop-in,2026-04-14,George,Harris,george.harris75@outlook.com,PL4 3 FQ,General Admission,1,4.21,2026-03-19 10:59:59.999997,Partial
EVB-PC-733480,Creative Drop-in,2026-04-14,Charlotte,Bennett,charlotte.bennett29@yahoo.co.uk,PL2 6 DT,General Admission,2,4.21,2026-03-13 12:00,Partial
EVB-PC-301492,Creative Drop-in,2026-04-14,Noah,Ahmed,noah.ahmed88@gmail.com,PL5 1 MK,General Admission,2,4.21,2026-04-07 15:00,Partial
EVB-PC-443753,Creative Drop-in,2026-04-14,Olivia,Ahmed,olivia.ahmed16@yahoo.co.uk,PL7 7 OH,General Admission,3,4.21,2026-01-22 16:59:59.999997,Partial
EVB-PC-406060,Creative Drop-in,2026-04-14,Alice,Jackson,alice.jackson80@yahoo.co.uk,PL5 1 NL,General Admission,1,4.21,2026-03-19 16:59:59.999997,Partial
EVB-PC-356164,Creative Drop-in,2026-04-14,Alice,Ahmed,alice.ahmed31@icloud.com,PL2 1 BR,General Admission,2,4.21,2026-03-02 15:00,Partial
