Order_ID,Event_Name,Event_Date,First_Name,Last_Name,Email,Postcode,Ticket_Type,Quantity,Ticket_Price,Purchase_Date,Attendance_Status
EVB-PC-221218,Family Gallery Trail,2026-03-03,Lucy,Hall,lucy.hall45@icloud.com,PL9 5 KR,General Admission,1,0,2026-02-20 10:00:00.000003,Attended
EVB-PC-952707,Family Gallery Trail,2026-03-03,Emma,Thomas,emma.thomas16@icloud.com,PL12 7 ME,General Admission,1,0,2026-01-13 07:59:59.999997,Attended
EVB-PC-372756,Family Gallery Trail,2026-03-03,Samuel,Moore,samuel.moore61@outlook.com,EX3 2 LM,General Admission,1,0,2025-12-14 16:59:59.999997,Attended
EVB-PC-226551,Family Gallery Trail,2026-03-03,Harry,Hill,harry.hill56@icloud.com,PL7 6 HH,General Admission,1,0,2026-01-06 16:00:00.000003,Attended
EVB-PC-412110,Family Gallery Trail,2026-03-03,Ella,Ahmed,ella.ahmed58@yahoo.co.uk,PL9 5 SJ,General Admission,1,0,2025-12-23 10:00:00.000003,No-show
EVB-PC-276316,Family Gallery Trail,2026-03-03,Harry,Smith,harry.smith41@outlook.com,PL6 2 ET,General Admission,1,0,2026-01-13 09:00,No-show
EVB-PC-808366,Family Gallery Trail,2026-03-03,Jessica,Ahmed,jessica.ahmed61@icloud.com,PL6 1 ZU,General Admission,1,0,2026-02-02 19:00:00.000003,Attended
EVB-PC-921902,Family Gallery Trail,2026-03-03,Megan,Bennett,megan.bennett10@hotmail.co.uk,PL6 8 PK,General Admission,3,0,2026-02-26 10:59:59.999997,Attended
EVB-PC-799304,Family Gallery Trail,2026-03-03,Sophie,Singh,sophie.singh84@icloud.com,PL1 1 MW,General Admission,1,0,2026-02-06 15:00,Attended
EVB-PC-502071,Family Gallery Trail,2026-03-03,Evie,Hall,evie.hall25@icloud.com,TQ12 4 XV,General Admission,1,0,2026-01-03 13:00:00.000003,Attended
EVB-PC-154718,Family Gallery Trail,2026-03-03,James,Jackson,james.jackson95@gmail.com,TQ4 1 CQ,General Admission,1,0,2026-02-13 13:00:00.000003,Attended
EVB-PC-226398,Family Gallery Trail,2026-03-03,Poppy,Young,poppy.young41@gmail.com,EX3 6 RK,General Admission,1,0,2026-01-06 19:00:00.000003,Attended
EVB-PC-345999,Family Gallery Trail,2026-03-03,Grace,Young,grace.young31@icloud.com,PL6 3 DX,General Admission,1,0,2026-01-20 10:59:59.999997,Attended
