Order_ID,Event_Name,Event_Date,First_Name,Last_Name,Email,Postcode,Ticket_Type,Quantity,Ticket_Price,Purchase_Date,Attendance_Status
EVB-PC-400908,Cultural Evening,2026-05-27,Chloe,Allen,chloe.allen30@yahoo.co.uk,PL9 4 IR,General Admission,1,22.97,2026-03-08 19:59:59.999997,Partial
EVB-PC-726601,Cultural Evening,2026-05-27,Poppy,Baker,poppy.baker9@outlook.com,PL1 9 NR,General Admission,1,22.97,2026-03-15 16:59:59.999997,Partial
EVB-PC-901251,Cultural Evening,2026-05-27,Ethan,Evans,ethan.evans68@icloud.com,PL7 3 UJ,General Admission,2,22.97,2026-03-09 13:00:00.000003,Partial
EVB-PC-798445,Cultural Evening,2026-05-27,Jessica,Baker,jessica.baker50@yahoo.co.uk,PL12 3 TC,General Admission,1,22.97,2026-05-20 18:00,Partial
EVB-PC-420345,Cultural Evening,2026-05-27,Megan,Baker,megan.baker62@gmail.com,PL1 6 MS,General Admission,1,22.97,2026-03-02 16:59:59.999997,Partial
EVB-PC-740503,Cultural Evening,2026-05-27,Henry,Taylor,henry.taylor60@hotmail.co.uk,PL9 9 AN,General Admission,1,22.97,2026-05-16 12:00,Partial
EVB-PC-803077,Cultural Evening,2026-05-27,Charlotte,Morgan,charlotte.morgan6@outlook.com,PL1 6 BK,General Admission,1,22.97,2026-04-13 07:59:59.999997,Partial
EVB-PC-536767,Cultural Evening,2026-05-27,Oliver,Taylor,oliver.taylor44@outlook.com,EX2 7 WL,General Admission,1,22.97,2026-05-23 16:59:59.999997,Partial
EVB-PC-745317,Cultural Evening,2026-05-27,Oliver,Murphy,oliver.murphy56@yahoo.co.uk,PL3 7 RM,General Admission,2,22.97,2026-04-09 07:59:59.999997,Partial
EVB-PC-674462,Cultural Evening,2026-05-27,Jessica,Roberts,jessica.roberts16@icloud.com,PL2 2 HG,General Admission,1,22.97,2026-02-26 16:59:59.999997,Partial
EVB-PC-573734,Cultural Evening,2026-05-27,Megan,Moore,megan.moore18@outlook.com,EX4 3 CN,General Admission,1,22.97,2026-04-09 15:00,Partial
EVB-PC-629111,Cultural Evening,2026-05-27,Lucy,King,lucy.king66@icloud.com,PL2 1 CA,General Admission,2,22.97,2026-04-06 13:00:00.000003,Partial
