Order_ID,Event_Name,Event_Date,First_Name,Last_Name,Email,Postcode,Ticket_Type,Quantity,Ticket_Price,Purchase_Date,Attendance_Status
EVB-PC-216136,Community Showcase,2026-02-24,Lucas,Jackson,lucas.jackson59@hotmail.co.uk,PL5 4 SC,General Admission,1,4.08,2025-12-21 16:59:59.999997,Attended
EVB-PC-884622,Community Showcase,2026-02-24,Harry,Taylor,harry.taylor16@yahoo.co.uk,PL9 2 RB,General Admission,1,4.08,2026-02-10 09:00,Attended
EVB-PC-960496,Community Showcase,2026-02-24,Lily,Evans,lily.evans69@outlook.com,EX2 1 MV,General Admission,3,4.08,2025-11-30 07:59:59.999997,Attended
EVB-PC-117350,Community Showcase,2026-02-24,Lucy,Evans,lucy.evans63@outlook.com,TA1 1 ES,General Admission,1,4.08,2025-11-27 15:00,Attended
EVB-PC-523871,Community Showcase,2026-02-24,Chloe,Ahmed,chloe.ahmed78@hotmail.co.uk,PL2 1 UF,General Admission,2,4.08,2025-11-29 13:00:00.000003,Attended
EVB-PC-884086,Community Showcase,2026-02-24,Olivia,Baker,olivia.baker9@yahoo.co.uk,PL5 6 IV,General Admission,1,4.08,2026-01-13 10:00:00.000003,Attended
EVB-PC-889397,Community Showcase,2026-02-24,Noah,Walker,noah.walker80@icloud.com,TA6 3 PL,General Admission,1,4.08,2026-02-11 19:59:59.999997,Attended
EVB-PC-554661,Community Showcase,2026-02-24,Emily,Hill,emily.hill49@outlook.com,EX4 8 JI,General Admission,2,4.08,2026-02-11 19:59:59.999997,Attended
EVB-PC-418210,Community Showcase,2026-02-24,George,Thomas,george.thomas46@gmail.com,EX1 2 BR,General Admission,1,4.08,2026-01-09 18:00,Attended
EVB-PC-844793,Community Showcase,2026-02-24,Max,Jackson,max.jackson31@gmail.com,PL2 3 VT,General Admission,1,4.08,2026-01-29 10:59:59.999997,Attended
EVB-PC-585323,Community Showcase,2026-02-24,James,Thomas,james.thomas2@yahoo.co.uk,PL1 4 HP,General Admission,1,4.08,2026-01-06 09:00,Attended
EVB-PC-261772,Community Showcase,2026-02-24,Joshua,Williams,joshua.williams65@hotmail.co.uk,TQ1 6 BE,General Admission,1,4.08,2025-12-23 19:59:59.999997,Attended
EVB-PC-686283,Community Showcase,2026-02-24,Henry,White,henry.white84@outlook.com,PL6 7 SJ,General Admission,2,4.08,2026-01-01 07:59:59.999997,Attended
