Item,Contact_Name,Email,Postcode,Event,Event_Date,Status,Comments
RI-RI-974450,Phoebe Hill,phoebe.hill54@icloud.com,TA1 2 EE,Artist Talk,2026-03-26,Confirmed,Follow up required
RI-RI-781993,Olivia Roberts,olivia.roberts2@hotmail.co.uk,PL2 3 WW,Artist Talk,2026-03-26,Attended,Community partner
RI-RI-962014,Jessica Clarke,jessica.clarke38@outlook.com,PL2 8 WO,Creative Drop-in,2026-04-14,Confirmed,Repeat attendee
RI-RI-746423,Lily Cook,lily.cook53@hotmail.co.uk,EX3 1 UB,Creative Drop-in,2026-04-14,Attended,Follow up required
RI-RI-845440,Phoebe Cook,phoebe.cook23@outlook.com,PL2 3 KB,Creative Drop-in,2026-04-14,Confirmed,Community partner
RI-RI-254760,Olivia Hill,olivia.hill34@hotmail.co.uk,PL12 9 GC,Creative Drop-in,2026-04-14,Attended,
RI-RI-810201,Noah Moore,noah.moore85@icloud.com,PL6 5 AF,Creative Drop-in,2026-04-14,Confirmed,Repeat attendee
RI-RI-547212,Thomas Moore,thomas.moore14@gmail.com,PL19 1 MQ,Creative Drop-in,2026-04-14,Confirmed,Community partner
RI-RI-564940,Ruby Cook,ruby.cook79@outlook.com,PL6 1 GD,Creative Drop-in,2026-04-14,Attended,
RI-RI-296213,Charlie Jackson,charlie.jackson30@gmail.com,PL6 4 FA,Creative Drop-in,2026-04-14,Confirmed,
RI-RI-918797,Lucy Scott,lucy.scott49@gmail.com,PL12 4 EN,Creative Drop-in,2026-04-14,Cancelled,Follow up required
RI-RI-966086,Daniel Wood,daniel.wood30@icloud.com,PL1 6 PY,Creative Drop-in,2026-04-14,Confirmed,Follow up required
RI-RI-157308,Lily Jones,lily.jones3@gmail.com,PL5 7 HQ,Creative Drop-in,2026-04-14,Confirmed,Community partner
RI-RI-734504,Harry White,harry.white84@yahoo.co.uk,PL19 7 HU,Creative Drop-in,2026-04-14,Confirmed,
RI-RI-847432,Ruby Patel,ruby.patel72@yahoo.co.uk,TQ4 5 ZN,Creative Drop-in,2026-04-14,Attended,Follow up required
RI-RI-989055,Grace Baker,grace.baker98@gmail.com,PL7 9 YH,Creative Drop-in,2026-04-14,Confirmed,Follow up required
RI-RI-478919,Charlotte Jones,charlotte.jones84@outlook.com,PL6 5 UJ,Open Studio Day,2026-05-28,Confirmed,Follow up required
RI-RI-765693,Thomas Allen,thomas.allen54@yahoo.co.uk,PL3 2 WX,Open Studio Day,2026-05-28,Confirmed,
RI-RI-670523,Olivia Singh,olivia.singh79@icloud.com,PL3 4 CP,Open Studio Day,2026-05-28,Attended,Follow up required
RI-RI-735971,Emily Baker,emily.baker53@icloud.com,PL4 2 UB,Open Studio Day,2026-05-28,Confirmed,Repeat attendee
RI-RI-371941,Ella Bennett,ella.bennett80@outlook.com,PL4 5 LI,Open Studio Day,2026-05-28,Attended,Repeat attendee
RI-RI-307537,Grace Turner,grace.turner25@gmail.com,PL2 7 ZY,Community Exhibition,2026-10-04,Confirmed,Repeat attendee
RI-RI-845317,Henry Thomas,henry.thomas66@hotmail.co.uk,PL5 7 LU,Community Exhibition,2026-10-04,Attended,Repeat attendee
RI-RI-716708,Lucy Perry,lucy.perry2@gmail.com,PL4 9 ZW,Community Exhibition,2026-10-04,Confirmed,
RI-RI-967498,Charlie Green,charlie.green1@outlook.com,PL9 4 ID,Community Exhibition,2026-10-04,Cancelled,Follow up required
RI-RI-744053,Megan Walker,megan.walker44@hotmail.co.uk,PL7 2 BU,Community Exhibition,2026-10-04,Attended,
RI-RI-857129,Charlotte Jones,charlotte.jones84@outlook.com,PL6 5 UJ,Community Exhibition,2026-10-04,Attended,Community partner
RI-RI-842752,Daniel Hall,daniel.hall37@yahoo.co.uk,PL4 2 VM,Community Exhibition,2026-10-04,Confirmed,Follow up required
RI-RI-721614,Joshua Brown,joshua.brown82@hotmail.co.uk,PL4 7 KB,Community Exhibition,2026-10-04,Attended,
RI-RI-700353,Daniel Hall,daniel.hall37@yahoo.co.uk,PL4 2 VM,Neighbourhood Arts Session,2026-11-05,Confirmed,
RI-RI-616595,Jacob Young,jacob.young28@hotmail.co.uk,TQ1 5 LG,Neighbourhood Arts Session,2026-11-05,Attended,Community partner
RI-RI-674716,Olivia Wood,olivia.wood18@outlook.com,PL9 1 JZ,Neighbourhood Arts Session,2026-11-05,Confirmed,Community partner
RI-RI-330493,Chloe White,chloe.white97@yahoo.co.uk,EX2 4 BT,Neighbourhood Arts Session,2026-11-05,Confirmed,
RI-RI-124549,Ruby Patel,ruby.patel72@yahoo.co.uk,TQ4 5 ZN,Neighbourhood Arts Session,2026-11-05,Attended,
RI-RI-979111,Chloe Taylor,chloe.taylor18@icloud.com,PL4 4 YM,Neighbourhood Arts Session,2026-11-05,Attended,Community partner
RI-RI-159983,Harry Scott,harry.scott32@icloud.com,EX2 9 QY,Neighbourhood Arts Session,2026-11-05,Confirmed,Repeat attendee
RI-RI-232534,Megan Moore,megan.moore3@gmail.com,EX4 5 OP,Museum Discovery Session,2026-02-11,Attended,
RI-RI-306129,Sophie King,sophie.king54@yahoo.co.uk,PL5 5 KB,Museum Discovery Session,2026-02-11,Confirmed,
RI-RI-958077,Evie Bennett,evie.bennett24@hotmail.co.uk,PL9 2 EF,Museum Discovery Session,2026-02-11,Confirmed,Community partner
RI-RI-809041,Noah Bell,noah.bell4@icloud.com,PL5 8 DK,Museum Discovery Session,2026-02-11,Confirmed,
RI-RI-725914,Phoebe Harris,phoebe.harris61@gmail.com,PL4 6 YB,Museum Discovery Session,2026-02-11,Confirmed,Community partner
RI-RI-226503,Harry Singh,harry.singh37@yahoo.co.uk,TA1 5 US,Family Gallery Trail,2026-03-03,Confirmed,Repeat attendee
RI-RI-750624,Jacob Wilson,jacob.wilson65@hotmail.co.uk,PL7 9 ML,Family Gallery Trail,2026-03-03,Confirmed,Repeat attendee
RI-RI-712569,Alice Young,alice.young57@icloud.com,TQ12 9 MN,Family Gallery Trail,2026-03-03,Confirmed,Repeat attendee
RI-RI-379642,Oscar Evans,oscar.evans87@gmail.com,PL2 7 AG,Family Gallery Trail,2026-03-03,Confirmed,Repeat attendee
RI-RI-633652,George Young,george.young37@outlook.com,PL5 8 RI,Family Gallery Trail,2026-03-03,Confirmed,Follow up required
RI-RI-314860,Oscar Hall,oscar.hall95@icloud.com,PL5 5 WP,Family Gallery Trail,2026-03-03,Confirmed,Repeat attendee
RI-RI-956529,William Ahmed,william.ahmed98@outlook.com,PL21 5 TK,Family Gallery Trail,2026-03-03,Confirmed,Follow up required
RI-RI-330095,Alice Bell,alice.bell86@yahoo.co.uk,PL4 6 VU,Family Gallery Trail,2026-03-03,Confirmed,Repeat attendee
RI-RI-872036,James Evans,james.evans62@icloud.com,TQ1 4 XE,Family Gallery Trail,2026-03-03,Confirmed,Repeat attendee
RI-RI-176413,Noah Walker,noah.walker50@outlook.com,PL2 3 VP,Object Handling Session,2026-05-24,Confirmed,Follow up required
RI-RI-207524,Daniel Collins,daniel.collins63@outlook.com,PL4 1 UH,Object Handling Session,2026-05-24,Attended,Repeat attendee
RI-RI-833079,Lucas Hall,lucas.hall67@icloud.com,TQ2 5 FY,Object Handling Session,2026-05-24,Confirmed,Repeat attendee
RI-RI-503521,Oliver Murphy,oliver.murphy56@yahoo.co.uk,PL3 7 RM,Object Handling Session,2026-05-24,Attended,Community partner
RI-RI-492169,Henry Ahmed,henry.ahmed38@gmail.com,PL2 8 EC,Object Handling Session,2026-05-24,Attended,Repeat attendee
RI-RI-417176,Jessica Jones,jessica.jones75@yahoo.co.uk,PL9 6 BG,Object Handling Session,2026-05-24,Attended,
RI-RI-319725,Phoebe Wilson,phoebe.wilson65@hotmail.co.uk,EX4 6 PY,Archive Visit,2026-07-19,Cancelled,Community partner
RI-RI-903649,Oscar Allen,oscar.allen55@hotmail.co.uk,PL5 8 HM,Archive Visit,2026-07-19,Attended,Follow up required
RI-RI-300692,Thomas Davies,thomas.davies23@icloud.com,TA1 6 PV,Archive Visit,2026-07-19,Confirmed,
RI-RI-448435,Daniel Scott,daniel.scott94@icloud.com,PL5 3 VK,Archive Visit,2026-07-19,Confirmed,Follow up required
RI-RI-807521,Mia Murphy,mia.murphy50@gmail.com,PL4 8 JT,Archive Visit,2026-07-19,Attended,Follow up required
RI-RI-805067,Ethan Bell,ethan.bell72@yahoo.co.uk,TR7 4 XB,Archive Visit,2026-07-19,Confirmed,Community partner
RI-RI-331475,Charlie Hall,charlie.hall90@outlook.com,PL14 3 YC,Archive Visit,2026-07-19,Confirmed,
RI-RI-809826,Jack Jackson,jack.jackson63@icloud.com,PL5 2 AC,Archive Visit,2026-07-19,Attended,Repeat attendee
RI-RI-939760,Ethan Turner,ethan.turner72@icloud.com,TQ3 7 AU,Archive Visit,2026-07-19,Confirmed,Follow up required
RI-RI-847962,Max Bell,max.bell1@yahoo.co.uk,PL3 9 JV,Archive Visit,2026-07-19,Confirmed,Community partner
RI-RI-861873,Lucas Patel,lucas.patel11@hotmail.co.uk,PL4 4 BA,Archive Visit,2026-07-19,Confirmed,Follow up required
RI-RI-775006,Oscar Turner,oscar.turner26@gmail.com,TQ1 6 PY,Archive Visit,2026-07-19,Confirmed,
RI-RI-491330,Alice Young,alice.young93@hotmail.co.uk,TA1 9 MH,Archive Visit,2026-07-19,Cancelled,Community partner
RI-RI-637042,Megan Hill,megan.hill11@outlook.com,PL3 9 RU,Archive Visit,2026-07-19,Confirmed,Repeat attendee
RI-RI-121768,Lucas Morgan,lucas.morgan77@yahoo.co.uk,PL5 9 HI,Archive Visit,2026-07-19,Confirmed,Follow up required
RI-RI-315735,Harry Turner,harry.turner76@yahoo.co.uk,PL2 2 BZ,Archive Visit,2026-07-19,Confirmed,Community partner
RI-RI-306796,Daniel Martin,daniel.martin57@hotmail.co.uk,TQ1 6 DQ,Archive Visit,2026-07-19,Attended,
RI-RI-187852,Harry Scott,harry.scott32@icloud.com,EX2 9 QY,Archive Visit,2026-07-19,Attended,
RI-RI-268270,Jack Murphy,jack.murphy89@gmail.com,PL6 5 LE,Local History Talk,2026-07-26,Attended,Community partner
RI-RI-273940,Sophie King,sophie.king54@yahoo.co.uk,PL5 5 KB,Local History Talk,2026-07-26,Attended,Repeat attendee
RI-RI-417285,George Taylor,george.taylor28@hotmail.co.uk,PL7 7 XQ,Local History Talk,2026-07-26,Attended,
RI-RI-618534,Chloe Bennett,chloe.bennett1@yahoo.co.uk,PL9 3 JM,Local History Talk,2026-07-26,Confirmed,
RI-RI-631339,Charlie Green,charlie.green1@outlook.com,PL9 4 ID,Behind the Scenes Tour,2026-09-21,Confirmed,Follow up required
RI-RI-836462,Lily Baker,lily.baker28@outlook.com,PL1 8 JJ,Behind the Scenes Tour,2026-09-21,Attended,Repeat attendee
RI-RI-514034,Lily Allen,lily.allen61@gmail.com,PL9 8 ZS,Behind the Scenes Tour,2026-09-21,Confirmed,Community partner
RI-RI-128218,Joshua Evans,joshua.evans43@gmail.com,TQ2 9 TZ,Behind the Scenes Tour,2026-09-21,Attended,Follow up required
RI-RI-803474,Max Scott,max.scott44@hotmail.co.uk,PL5 1 AM,Behind the Scenes Tour,2026-09-21,Attended,Follow up required
RI-RI-261287,William Johnson,william.johnson3@hotmail.co.uk,PL9 3 FV,Behind the Scenes Tour,2026-09-21,Confirmed,
RI-RI-214419,Max Walker,max.walker81@hotmail.co.uk,TQ3 3 LL,Behind the Scenes Tour,2026-09-21,Confirmed,
RI-RI-582183,Oliver Young,oliver.young50@yahoo.co.uk,PL5 7 JW,Community Collection Day,2026-10-07,Cancelled,
RI-RI-745865,Olivia Wood,olivia.wood18@outlook.com,PL9 1 JZ,Community Collection Day,2026-10-07,Confirmed,
RI-RI-792991,Poppy Evans,poppy.evans4@icloud.com,PL14 5 XS,Community Collection Day,2026-10-07,Confirmed,Community partner
RI-RI-170791,Mia Brown,mia.brown18@yahoo.co.uk,TQ12 3 NT,Community Collection Day,2026-10-07,Confirmed,Repeat attendee
RI-RI-673288,William Wood,william.wood73@outlook.com,PL9 3 IR,Community Collection Day,2026-10-07,Attended,
RI-RI-721155,Emma Ward,emma.ward8@gmail.com,PL2 1 LA,School Holiday Activity,2026-10-11,Confirmed,Follow up required
RI-RI-457133,Ethan Roberts,ethan.roberts34@hotmail.co.uk,PL7 5 CO,Exhibition Tour,2026-12-01,Confirmed,
RI-RI-559982,Jacob White,jacob.white23@gmail.com,EX3 6 TJ,Exhibition Tour,2026-12-01,Confirmed,Community partner
