Booking_ID,Customer_Email,Customer_Postcode,Customer_Name,Performance,Performance_Date,Venue,Tickets,Seat_Category,Booking_Channel,Membership_Status,Attendance
TH-Theatre-547932,amelia.scott65@yahoo.co.uk,PL9 2 RR,Amelia Scott,Artist Talk,2026-03-26,University Space,2,Standard,Phone,Non-member,
TH-Theatre-161087,megan.patel14@gmail.com,PL5 9 XO,Megan Patel,Creative Drop-in,2026-04-14,Neighbourhood Centre,1,Restricted,Phone,Non-member,
TH-Theatre-600306,jacob.morgan8@hotmail.co.uk,EX4 8 KH,Jacob Morgan,Creative Drop-in,2026-04-14,Neighbourhood Centre,1,Restricted,Website,Non-member,
TH-Theatre-546774,sophie.collins91@outlook.com,TR1 4 WL,Sophie Collins,Creative Drop-in,2026-04-14,Neighbourhood Centre,1,Restricted,Walk-up,Non-member,
TH-Theatre-974808,leo.ward87@hotmail.co.uk,PL3 1 ZB,Leo Ward,Creative Drop-in,2026-04-14,Neighbourhood Centre,1,Restricted,Website,Non-member,
TH-Theatre-870037,oscar.baker57@outlook.com,PL3 6 QP,Oscar Baker,Creative Drop-in,2026-04-14,Neighbourhood Centre,1,Premium,Website,Non-member,
TH-Theatre-997489,thomas.ahmed93@icloud.com,PL4 7 ZA,Thomas Ahmed,Creative Drop-in,2026-04-14,Neighbourhood Centre,1,Restricted,Walk-up,Non-member,
TH-Theatre-829190,daniel.moore40@yahoo.co.uk,PL9 5 WM,Daniel Moore,Creative Drop-in,2026-04-14,Neighbourhood Centre,2,Standard,Website,Non-member,
TH-Theatre-463395,william.ahmed43@yahoo.co.uk,TA1 1 SG,William Ahmed,Creative Drop-in,2026-04-14,Neighbourhood Centre,40,Standard,Website,Member,
TH-Theatre-589273,thomas.scott62@gmail.com,PL19 1 QA,Thomas Scott,Creative Drop-in,2026-04-14,Neighbourhood Centre,2,Standard,Website,Non-member,
TH-Theatre-491438,thomas.bennett10@outlook.com,PL5 2 DA,Thomas Bennett,Creative Drop-in,2026-04-14,Neighbourhood Centre,1,Restricted,Website,Member,
TH-Theatre-424492,olivia.allen6@outlook.com,PL6 5 CG,Olivia Allen,Creative Drop-in,2026-04-14,Neighbourhood Centre,2,Restricted,Website,Non-member,
TH-Theatre-446481,emily.taylor37@icloud.com,PL2 5 JS,Emily Taylor,Open Studio Day,2026-05-28,Community Hall,2,Restricted,Phone,Non-member,2
TH-Theatre-766169,noah.johnson48@icloud.com,PL4 7 MX,Noah Johnson,Open Studio Day,2026-05-28,Community Hall,2,Standard,Phone,Non-member,2
TH-Theatre-811661,william.smith71@yahoo.co.uk,PL1 3 HN,William Smith,Open Studio Day,2026-05-28,Community Hall,1,Premium,Website,Non-member,1
TH-Theatre-364446,olivia.cooper94@outlook.com,TR7 1 SW,Olivia Cooper,Open Studio Day,2026-05-28,Community Hall,2,Restricted,Website,Member,2
TH-Theatre-423350,emily.singh78@yahoo.co.uk,PL7 7 TH,Emily Singh,Open Studio Day,2026-05-28,Community Hall,2,Restricted,Walk-up,Non-member,2
TH-Theatre-979194,jack.ahmed30@yahoo.co.uk,TA6 8 OX,Jack Ahmed,Community Exhibition,2026-10-04,Outdoor Space,1,Standard,Website,Non-member,1
TH-Theatre-898114,oscar.baker57@outlook.com,PL3 6 QP,Oscar Baker,Community Exhibition,2026-10-04,Outdoor Space,1,Standard,Website,Non-member,1
TH-Theatre-515215,phoebe.ahmed81@outlook.com,PL19 6 FE,Phoebe Ahmed,Community Exhibition,2026-10-04,Outdoor Space,4,Premium,Website,Non-member,4
TH-Theatre-863939,ethan.taylor79@outlook.com,PL1 4 VO,Ethan Taylor,Neighbourhood Arts Session,2026-11-05,Community Hall,2,Standard,Website,Non-member,2
TH-Theatre-500942,evie.patel25@icloud.com,TQ1 5 UK,Evie Patel,Neighbourhood Arts Session,2026-11-05,Community Hall,3,Premium,Website,Non-member,3
TH-Theatre-213110,sophie.harris61@gmail.com,PL9 5 RN,Sophie Harris,Neighbourhood Arts Session,2026-11-05,Community Hall,2,Restricted,Phone,Non-member,2
TH-Theatre-769660,oliver.patel97@gmail.com,PL14 9 JU,Oliver Patel,Neighbourhood Arts Session,2026-11-05,Community Hall,2,Premium,Phone,Non-member,2
TH-Theatre-698438,ella.patel48@outlook.com,PL6 7 YB,Ella Patel,Neighbourhood Arts Session,2026-11-05,Community Hall,1,Restricted,Website,Non-member,1
TH-Theatre-580385,charlie.bell8@hotmail.co.uk,PL9 1 FX,Charlie Bell,Neighbourhood Arts Session,2026-11-05,Community Hall,1,Premium,Website,Member,1
TH-Theatre-441765,grace.cook25@gmail.com,EX2 8 HS,Grace Cook,Neighbourhood Arts Session,2026-11-05,Community Hall,2,Premium,Website,Member,2
TH-Theatre-879616,george.baker40@icloud.com,PL7 4 EF,George Baker,Neighbourhood Arts Session,2026-11-05,Community Hall,1,Restricted,Website,Non-member,1
TH-Theatre-719793,henry.hill23@outlook.com,PL7 5 YT,Henry Hill,Museum Discovery Session,2026-02-11,Plymouth Museum,2,Restricted,Website,Non-member,2
TH-Theatre-875245,grace.baker98@gmail.com,PL7 9 YH,Grace Baker,Museum Discovery Session,2026-02-11,Plymouth Museum,1,Premium,Phone,Non-member,1
